Country,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Mexico,f,90,2020-10-25,161.57991178876648,-1740.707748933675,367.098160176013,113142.31321734184
Mexico,f,90,2020-11-01,161.57991178876648,-1789.5520355042263,367.098160176013,116387.51457194882
Mexico,f,90,2020-11-08,161.57991178876648,-1811.7752976124798,367.098160176013,119633.41301035874
Mexico,f,90,2020-11-15,161.57991178876648,-1838.5451533101698,367.098160176013,122880.00853257162
Mexico,f,90,2020-11-22,161.57991178876648,-1879.9703492098547,367.098160176013,126127.30113858746
Mexico,f,90,2020-11-29,161.57991178876648,-1892.0974607901205,367.098160176013,129375.29082840624
Mexico,f,90,2020-12-06,161.57991178876648,-1901.9083945692469,367.098160176013,132623.977602028
Mexico,f,90,2020-12-13,161.57991178876648,-1836.3188300616193,432.6877246836405,135873.3614594527
Mexico,f,90,2020-12-20,161.57991178876648,-1833.1777294739456,435.8288252713144,139123.4424006803
Mexico,f,90,2020-12-27,235.48961632235847,-1759.2680249403536,509.73852980490636,142374.2204257109
Mexico,f,90,2021-01-03,235.48961632235847,-1760.3085667140822,509.73852980490636,145625.69553454444
Mexico,f,90,2021-01-10,235.48961632235847,-2267.9573816898032,509.73852980490636,148877.86772718094
Mexico,f,90,2021-01-17,235.48961632235847,-2778.8162511036126,509.73852980490636,152130.7370036204
Mexico,f,90,2021-01-24,235.48961632235847,-3292.436571024927,509.73852980490636,155384.3033638628
Mexico,f,90,2021-01-31,235.48961632235847,-3808.3264116112946,509.73852980490636,158638.56680790815
Mexico,f,90,2021-02-07,235.48961632235847,-4325.958643716605,509.73852980490636,161893.52733575646
Mexico,f,90,2021-02-14,235.48961632235847,-4844.779957184163,509.73852980490636,165149.18494740772
Mexico,f,90,2021-02-21,235.48961632235847,-5364.220556836157,509.73852980490636,168405.53964286193
Mexico,f,90,2021-02-28,235.48961632235847,-5883.704292326678,509.73852980490636,171662.5914221191
Mexico,f,90,2021-03-14,235.48961632235847,-6402.770217100817,509.73852980490636,174921.03736898213
Mexico,f,90,2021-03-21,235.48961632235847,-6920.748757335903,509.73852980490636,178180.18039964815
Mexico,f,95,2020-03-01,0,-89.37644045462986,0,1151.6523499784978
Mexico,f,95,2020-03-08,0,-188.31862894726436,0,2302.000650209431
Mexico,f,95,2020-03-15,0,-261.44204003725173,0,3451.033332291594
Mexico,f,95,2020-03-22,0,-350.38393054300764,0,4598.739553771496
Mexico,f,95,2020-03-29,0,-446.80966395323577,0,5745.109198143366
Mexico,f,95,2020-04-05,0,-541.4182844269777,0,6890.132874849149
Mexico,f,95,2020-04-12,0,-605.947221322746,0,8033.801919278512
Mexico,f,95,2020-04-19,0,-660.1760441441659,0,9176.108392768836
Mexico,f,95,2020-04-26,0,-702.9292277886179,0,10317.045082605218
Mexico,f,95,2020-05-03,0,-760.0779265420806,0,11456.60550202048
Mexico,f,95,2020-05-10,0,-809.5407901938665,0,12594.783890195155
Mexico,f,95,2020-05-17,0,-844.2838852253631,0,13731.575212257494
Mexico,f,95,2020-05-24,0,-862.3198070831181,0,14866.975159283471
Mexico,f,95,2020-05-31,0,-933.7060854821182,0,16000.980148296776
Mexico,f,95,2020-06-07,0,-942.5429934525905,0,17133.587322268813
Mexico,f,95,2020-06-14,0,-946.9708728719258,0,18264.794550118706
Mexico,f,95,2020-06-21,0,-961.1670853148162,0,19394.6004267133
Mexico,f,95,2020-06-28,0,-988.3426882690512,0,20523.004272867154
Mexico,f,95,2020-07-05,0,-1008.738890817066,0,21650.00599097012
Mexico,f,95,2020-07-12,0,-1000.6233173098651,8.115573507200907,22775.605581022195
Mexico,f,95,2020-07-19,0,-985.28630368178,23.452587135285853,23899.80304302339
Mexico,f,95,2020-07-26,0,-975.0371971100973,33.70169370696868,25022.59837697369
